Timestamp,pres,temp1,umid,temp2,V450,B500,G550,Y570,O600,R650,temps1,temps2,lumina
10/28/2022 1:00,1004.269836,6.124778748,99.99694824,8.133923531,0,0,0,0,0,0,12.09375,10.640625,0
10/28/2022 2:00,1004.438538,4.841941833,99.99694824,7.09159565,0,0,0,0,0,0,12,10.265625,0
10/28/2022 3:00,1004.366638,4.703147888,99.99694824,6.975781441,0,0,0,0,0,0,11.90625,10.0703125,0
10/28/2022 4:00,1004.112488,3.523124695,99.99694824,5.928418159,0,0,0,0,0,0,11.796875,9.640625,0
10/28/2022 5:00,1003.998108,2.36391449,99.99694824,4.951550484,0,0,0,0,0,0,11.6953125,9.1875,0
10/28/2022 6:00,1003.896973,1.783454895,99.99694824,4.417798042,0,0,0,0,0,0,11.5703125,8.78125,0
10/28/2022 7:00,1003.687744,1.106910706,99.99694824,3.828656197,0.088528886,0.091212712,0.05170317,0.04826178,0.047840748,0.066678487,11.4296875,8.3515625,0.394225784
10/28/2022 8:00,1003.730774,1.344604492,99.99694824,4.115674019,21.64006233,23.82117653,21.02065086,17.17059898,22.81267548,13.77600574,11.2734375,8.171875,120.2411699
10/28/2022 9:00,1004.163879,6.438323975,99.99694824,8.194348335,59.05013275,62.66540527,76.1413269,56.13465118,82.94141388,44.46441269,11.1171875,9.5078125,381.3973427
10/28/2022 10:00,1004.236084,11.6933136,88.80004883,12.64060688,70.48629761,74.63632202,82.43836212,62.30886078,86.09502411,51.10024643,10.984375,11.125,427.0651131
10/28/2022 11:00,1004.147522,16.17175293,75.2166748,16.45744133,88.35564423,90.35388947,101.5605698,74.55641937,103.307579,59.65320587,10.9296875,12.6640625,517.7873077
10/28/2022 12:00,1003.800537,17.67823029,73.31542969,17.98316765,150.2305908,163.1519623,138.1874084,132.1559753,141.7123718,136.2731934,10.984375,13.4765625,861.711502
10/28/2022 13:00,1003.364746,20.37877655,67.73376465,19.86640739,158.2729187,179.3811493,148.2513123,146.2631989,147.8092041,146.6992645,11.109375,14.0546875,926.6770478
10/28/2022 14:00,1002.795959,23.29508972,61.27319336,21.01447868,140.7802582,138.3149872,125.0886993,118.8712692,129.5662994,116.0718384,11.3125,14.421875,768.6933517
10/28/2022 15:00,1002.375854,21.14915466,63.49182129,20.30448723,81.13297272,74.45562744,63.53921509,58.45325089,60.70867538,54.75338364,11.546875,14.5,393.0431252
10/28/2022 16:00,1002.074768,16.96235657,69.6105957,17.56019402,43.91632843,38.61717987,26.03320694,25.94953346,24.23930931,22.58101463,11.796875,13.890625,181.3365726
